Footprint,Part Value,LCSC Part
C_0402,0.1uF,C1525
C_0402,10uF,C15525
C_0402,4.7uF,C23733
C_0402,1uF,C52923
C_0402,4.7nF,C1538
C_0402_1005Metric,0.1uF,C52923
C_0603,0.1uF,C1590
HRO-TYPE-C-31-M-12-Assembly,HRO-TYPE-C-31-M-12,C165948
L_TDK_NLV25_2.5x2.0mm,2.2uH,C3040393
R_0402,1M,C26083
R_0402,5.1k,C25905
R_0402,300R,C25104
R_0402,10k,C25744
R_0402,12k,C25752
R_0402_1005Metric,100R,C25076
Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,12Mhz (15p),C341520
SK6812_Mini_E,SK6812_Mini_E,C524051
SK6812_Mini_E_REV,SK6812_Mini_E,C524051
SLSS49E_MX_1.25U,SLSS49E-3,C2977713
SLSS49E_MX_1.25U_Rotate,SLSS49E-3,C2977713
SLSS49E_MX_1.5U,SLSS49E-3,C2977713
SLSS49E_MX_1.5U_Rotate,SLSS49E-3,C2977713
SLSS49E_MX_1.75U,SLSS49E-3,C2977713
SLSS49E_MX_1U,SLSS49E-3,C2977713
SLSS49E_MX_1U_Rotate,SLSS49E-3,C2977713
SLSS49E_MX_2.25U,SLSS49E-3,C2977713
SLSS49E_MX_2.25U-ReversedStabilizers,SLSS49E-3,C2977713
SLSS49E_MX_2U,SLSS49E-3,C2977713
SLSS49E_MX_6.25U-ReversedStabilizers,SLSS49E-3,C2977713
SLSS49E_MX_7U-ReversedStabilizers,SLSS49E-3,C2977713
SOT-223-3_TabPin2,AMS1117-3.3,C6186
SSOP-16_4.4x5.2mm_P0.65mm,74HC4051,C352826
Texas_DRC0010J_ThermalVias,TPS63001,C28060
C_0603,0.1uF,C1590
SK6812_Mini_E,SK6812_Mini_E,C524051
SK6812_Mini_E_REV,SK6812_Mini_E,C524051
