Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402,2.75,2.499999,0.0,bottom
C10,0.1uF,C_0402,17.977884,-30.509073,225.0,bottom
C100,4.7nF,C_0402,269.2,0.75,90.0,bottom
C101,0.1uF,C_0402,140.375,-18.3,90.0,bottom
C102,0.1uF,C_0402,159.425,-18.3,90.0,bottom
C105,0.1uF,C_0402,178.475,-18.3,90.0,bottom
C107,4.7nF,C_0402,243.00625,-56.4,90.0,bottom
C108,4.7nF,C_0402,269.2,-56.4,90.0,bottom
C11,1uF,C_0402,23.054024,-37.565113,315.0,bottom
C111,0.1uF,C_0402,197.525,-18.3,90.0,bottom
C112,0.1uF,C_0402,216.575,-18.3,90.0,bottom
C113,0.1uF,C_0402,252.29375,-37.35,90.0,bottom
C114,0.1uF,C_0402,235.625,-18.3,90.0,bottom
C115,0.1uF,C_0402,259.4375,-18.3,90.0,bottom
C117,0.1uF,C_0402,2.2625,-18.3,90.0,bottom
C119,0.1uF,C_0402,221.3375,-37.35,90.0,bottom
C120,0.1uF,C_0402,202.2875,-37.35,90.0,bottom
C121,0.1uF,C_0402,183.2375,-37.35,90.0,bottom
C122,0.1uF,C_0402,49.8875,-37.35,90.0,bottom
C123,0.1uF,C_0402,164.1875,-37.35,90.0,bottom
C124,0.1uF,C_0402,145.1375,-37.35,90.0,bottom
C125,0.1uF,C_0402,126.0875,-37.35,90.0,bottom
C126,0.1uF,C_0402,107.0375,-37.35,90.0,bottom
C127,0.1uF,C_0402,30.8375,-37.35,90.0,bottom
C128,0.1uF,C_0402,68.9375,-37.35,90.0,bottom
C129,0.1uF,C_0402,87.9875,-37.35,90.0,bottom
C13,0.1uF,C_0402,22.361946,-36.873034,315.0,bottom
C130,0.1uF,C_0402,4.64375,-37.35,90.0,bottom
C131,0.1uF,C_0402,9.40625,-56.4,90.0,bottom
C132,0.1uF,C_0402,-0.11875,-56.4,90.0,bottom
C133,0.1uF,C_0402,40.3625,-56.4,90.0,bottom
C134,0.1uF,C_0402,238.00625,-56.4,90.0,bottom
C135,0.1uF,C_0402,264.2,-56.4,90.0,bottom
C136,0.1uF,C_0402,211.8125,-56.4,90.0,bottom
C137,0.1uF,C_0402,192.7625,-56.4,90.0,bottom
C138,0.1uF,C_0402,173.7125,-56.4,90.0,bottom
C139,0.1uF,C_0402,154.6625,-56.4,90.0,bottom
C14,10uF,C_0402,1.7625,-13.496875,180.0,bottom
C140,0.1uF,C_0402,135.6125,-56.4,90.0,bottom
C141,0.1uF,C_0402,59.4125,-56.4,90.0,bottom
C142,0.1uF,C_0402,78.4625,-56.4,90.0,bottom
C143,0.1uF,C_0402,97.5125,-56.4,90.0,bottom
C144,0.1uF,C_0402,116.5625,-56.4,90.0,bottom
C146,0.1uF,C_0402,21.3125,-56.4,90.0,bottom
C147,0.1uF,C_0402,-0.61875,-74.45,180.0,bottom
C148,0.1uF,C_0402,23.19375,-74.45,180.0,bottom
C149,0.1uF,C_0402,47.00625,-74.45,180.0,bottom
C15,4.7nF,C_0402,259.675,0.75,90.0,bottom
C151,0.1uF,C_0402,233.4,-32.635938,0.0,bottom
C152,0.1uF,C_0402,200.0625,-32.635938,0.0,bottom
C153,0.1uF,C_0402,118.94375,-75.45,90.0,bottom
C154,0.1uF,C_0402,161.9625,-32.635938,0.0,bottom
C155,0.1uF,C_0402,85.7625,-32.635938,0.0,bottom
C156,4.7nF,C_0402,252.53125,-56.4,90.0,bottom
C157,0.1uF,C_0402,190.38125,-75.45,90.0,bottom
C158,0.1uF,C_0402,211.3125,-74.45,180.0,bottom
C159,0.1uF,C_0402,235.125,-74.45,180.0,bottom
C16,4.7nF,C_0402,2.5,0.75,90.0,bottom
C160,0.1uF,C_0402,258.9375,-74.45,180.0,bottom
C163,0.1uF,C_0402,130.85,-75.45,90.0,bottom
C165,0.1uF,C_0402_1005Metric,7.3625,-14.096875,90.0,bottom
C168,4.7nF,C_0402,14.40625,-56.4,90.0,bottom
C169,4.7nF,C_0402,12.0125,-77.05,0.0,bottom
C17,4.7nF,C_0402,7.2625,-18.3,90.0,bottom
C170,4.7nF,C_0402,35.825,-77.05,0.0,bottom
C171,4.7nF,C_0402,59.6375,-77.05,0.0,bottom
C172,4.7nF,C_0402,247.75625,-77.05,0.0,bottom
C173,4.7nF,C_0402,271.56875,-77.05,0.0,bottom
C175,4.7nF,C_0402,195.38125,-75.45,90.0,bottom
C176,4.7nF,C_0402,223.94375,-77.05,0.0,bottom
C177,4.7nF,C_0402,135.85,-75.45,90.0,bottom
C178,4.7nF,C_0402,123.94375,-75.45,90.0,bottom
C18,4.7nF,C_0402,9.64375,-37.35,90.0,bottom
C19,4.7nF,C_0402,4.88125,-56.4,90.0,bottom
C2,0.1uF,C_0402,9.5625,-32.635938,0.0,bottom
C20,10uF,C_0402,1.7625,-12.496875,180.0,bottom
C21,10uF,C_0402,51.95,-8.284344,270.0,bottom
C22,4.7nF,C_0402,21.55,0.75,90.0,bottom
C23,4.7nF,C_0402,31.075,-18.3,90.0,bottom
C24,4.7nF,C_0402,35.8375,-37.35,90.0,bottom
C25,10uF,C_0402,51.95,-11.484344,90.0,bottom
C26,10uF,C_0402,35.7,-9.884344,90.0,bottom
C27,0.1uF,C_0402,16.55,0.75,90.0,bottom
C28,4.7nF,C_0402,40.6,0.75,90.0,bottom
C29,4.7nF,C_0402,50.125,-18.3,90.0,bottom
C30,4.7nF,C_0402,54.8875,-37.35,90.0,bottom
C31,4.7nF,C_0402,26.3125,-56.4,90.0,bottom
C32,10uF,C_0402,35.7,-12.284344,270.0,bottom
C33,0.1uF,C_0402,35.6,0.75,90.0,bottom
C34,4.7nF,C_0402,59.65,0.75,90.0,bottom
C35,4.7nF,C_0402,69.175,-18.3,90.0,bottom
C36,4.7nF,C_0402,73.9375,-37.35,90.0,bottom
C37,4.7nF,C_0402,45.3625,-56.4,90.0,bottom
C38,0.1uF,C_0402,54.65,0.75,90.0,bottom
C39,0.1uF,C_0402,73.7,0.75,90.0,bottom
C4,0.1uF,C_0402,233.4,-51.785938,0.0,bottom
C40,4.7nF,C_0402,78.7,0.75,90.0,bottom
C41,4.7nF,C_0402,88.225,-18.3,90.0,bottom
C42,4.7nF,C_0402,92.9875,-37.35,90.0,bottom
C43,4.7nF,C_0402,64.4125,-56.4,90.0,bottom
C44,0.1uF,C_0402,92.75,0.75,90.0,bottom
C45,0.1uF,C_0402,111.8,0.75,90.0,bottom
C46,4.7nF,C_0402,97.75,0.75,90.0,bottom
C47,4.7nF,C_0402,107.275,-18.3,90.0,bottom
C48,4.7nF,C_0402,112.0375,-37.35,90.0,bottom
C49,4.7nF,C_0402,83.4625,-56.4,90.0,bottom
C5,0.1uF,C_0402,123.8625,-32.635938,0.0,bottom
C50,0.1uF,C_0402,247.53125,-56.4,90.0,bottom
C51,0.1uF,C_0402,-2.5,0.75,90.0,bottom
C52,4.7nF,C_0402,116.8,0.75,90.0,bottom
C53,4.7nF,C_0402,126.325,-18.3,90.0,bottom
C54,4.7nF,C_0402,131.0875,-37.35,90.0,bottom
C55,4.7nF,C_0402,102.5125,-56.4,90.0,bottom
C56,0.1uF,C_0402,254.675,0.75,90.0,bottom
C57,0.1uF,C_0402,130.85,0.75,90.0,bottom
C58,4.7nF,C_0402,135.85,0.75,90.0,bottom
C59,4.7nF,C_0402,145.375,-18.3,90.0,bottom
C6,0.1uF,C_0402,47.6625,-32.635938,0.0,bottom
C60,4.7nF,C_0402,150.1375,-37.35,90.0,bottom
C61,4.7nF,C_0402,121.5625,-56.4,90.0,bottom
C63,0.1uF,C_0402,149.9,0.75,90.0,bottom
C64,4.7nF,C_0402,154.9,0.75,90.0,bottom
C65,4.7nF,C_0402,164.425,-18.3,90.0,bottom
C66,4.7nF,C_0402,169.1875,-37.35,90.0,bottom
C67,4.7nF,C_0402,140.6125,-56.4,90.0,bottom
C68,0.1uF,C_0402,168.95,0.75,90.0,bottom
C69,0.1uF,C_0402,188.0,0.75,90.0,bottom
C7,10uF,C_0402,7.3625,-10.096875,270.0,bottom
C70,4.7nF,C_0402,173.95,0.75,90.0,bottom
C71,4.7nF,C_0402,183.475,-18.3,90.0,bottom
C72,4.7nF,C_0402,188.2375,-37.35,90.0,bottom
C73,4.7nF,C_0402,159.6625,-56.4,90.0,bottom
C74,0.1uF,C_0402,207.05,0.75,90.0,bottom
C75,0.1uF,C_0402,245.15,0.75,90.0,bottom
C76,0.1uF,C_0402,193.0,0.75,90.0,bottom
C77,0.1uF,C_0402,202.525,-18.3,90.0,bottom
C78,0.1uF,C_0402,207.2875,-37.35,90.0,bottom
C79,4.7nF,C_0402,178.7125,-56.4,90.0,bottom
C8,4.7uF,C_0402,16.6,-29.1,225.0,bottom
C80,0.1uF,C_0402,226.1,0.75,90.0,bottom
C81,0.1uF,C_0402,264.2,0.75,90.0,bottom
C82,0.1uF,C_0402,212.05,0.75,90.0,bottom
C83,0.1uF,C_0402,221.575,-18.3,90.0,bottom
C84,0.1uF,C_0402,226.3375,-37.35,90.0,bottom
C85,0.1uF,C_0402,197.7625,-56.4,90.0,bottom
C87,0.1uF,C_0402,45.125,-18.3,90.0,bottom
C88,4.7nF,C_0402,231.1,0.75,90.0,bottom
C89,4.7nF,C_0402,240.625,-18.3,90.0,bottom
C9,0.1uF,C_0402,24.059002,-32.064708,315.0,bottom
C90,4.7nF,C_0402,257.29375,-37.35,90.0,bottom
C91,0.1uF,C_0402,64.175,-18.3,90.0,bottom
C92,0.1uF,C_0402,83.225,-18.3,90.0,bottom
C93,0.1uF,C_0402,26.075,-18.3,90.0,bottom
C94,4.7nF,C_0402,250.15,0.75,90.0,bottom
C95,4.7nF,C_0402,264.4375,-18.3,90.0,bottom
C96,0.1uF,C_0402,102.275,-18.3,90.0,bottom
C97,0.1uF,C_0402,216.8125,-56.4,90.0,bottom
C99,0.1uF,C_0402,121.325,-18.3,90.0,bottom
F1,1A,Fuse_SMD1206_Reflow,9.55,-1.819,180.0,bottom
J2,Conn_01x04,JST-SR-4,15.63861,-11.084344,270.0,bottom
L1,2.2uH,L_TDK_NLV25_2.5x2.0mm,4.7625,-9.696875,0.0,bottom
R1,1M,R_0402,2.75,3.499999,0.0,bottom
R113,100R,R_0402_1005Metric,7.3625,-12.096875,270.0,bottom
R2,5.1k,R_0402,7.799999,0.595344,90.0,bottom
R3,5.1k,R_0402,10.55,0.595344,90.0,bottom
R30,10k,R_0402,15.573721,-32.913236,45.0,bottom
R35,12k,R_0402,16.280827,-32.206129,45.0,bottom
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,30.3,-33.1,270.0,bottom
U10,SLSS49E-3,SLSS49E_MX_1U,0.0,-0.02,0.0,bottom
U11,SLSS49E-3,SLSS49E_MX_1.5U,4.7625,-19.07,0.0,bottom
U12,SLSS49E-3,SLSS49E_MX_1.75U,7.14375,-38.12,0.0,bottom
U14,SLSS49E-3,SLSS49E_MX_1.25U_Rotate,2.38125,-76.2,0.0,bottom
U15,SLSS49E-3,SLSS49E_MX_1.25U,192.88125,-76.22,0.0,bottom
U16,SLSS49E-3,SLSS49E_MX_1U,19.05,-0.02,0.0,bottom
U17,SLSS49E-3,SLSS49E_MX_1U,28.575,-19.07,0.0,bottom
U18,SLSS49E-3,SLSS49E_MX_1U,33.3375,-38.12,0.0,bottom
U19,AP2112K-3.3,SOT-23-5,38.1,-11.084344,270.0,bottom
U2,74HC4051,SSOP-16_4.4x5.2mm_P0.65mm,4.7625,-30.360938,180.0,bottom
U20,SLSS49E-3,SLSS49E_MX_1.25U_Rotate,26.19375,-76.2,0.0,bottom
U21,SLSS49E-3,SLSS49E_MX_1.25U_Rotate,216.69375,-76.2,0.0,bottom
U22,SLSS49E-3,SLSS49E_MX_1U,38.1,-0.02,0.0,bottom
U23,SLSS49E-3,SLSS49E_MX_1U,47.625,-19.07,0.0,bottom
U24,SLSS49E-3,SLSS49E_MX_1U,52.3875,-38.12,0.0,bottom
U25,SLSS49E-3,SLSS49E_MX_1U,42.8625,-57.17,0.0,bottom
U26,SLSS49E-3,SLSS49E_MX_1.25U_Rotate,50.00625,-76.2,0.0,bottom
U27,AT32F405KxU7-4,QFN-32-1EP_4x4mm_P0.4mm_EP2.9x2.9mm_ThermalVias,20.240625,-33.3375,45.0,bottom
U28,SLSS49E-3,SLSS49E_MX_1U,57.15,-0.02,0.0,bottom
U29,SLSS49E-3,SLSS49E_MX_1U,66.675,-19.07,0.0,bottom
U3,SLSS49E-3,SLSS49E_MX_2U,257.175,-0.86995,0.0,bottom
U30,SLSS49E-3,SLSS49E_MX_1U,71.4375,-38.12,0.0,bottom
U31,SLSS49E-3,SLSS49E_MX_1U,61.9125,-57.17,0.0,bottom
U32,74HC4051,SSOP-16_4.4x5.2mm_P0.65mm,42.8625,-30.360938,180.0,bottom
